"2";"101";;"0";"0";"0.000000000";"0.000000000";;;"8";;"Dubbel pakhuis (XVII) waarvan de gevel wat betreft de bovenste helft XXa is vernieuwd en van een lage puntvormige beëindiging is voorzien.";"Oudezijds Achterburgwal";"94";;"1012 DS";;;"Amsterdam";"Noord-Holland";"Amsterdam";"nee";"0";"ja";"5305"
"3";"208";;"121645";"486673";"4.897472858";"52.366928101";;"via toad kroonberoep verwijderd op 07-01-05";"8";;"PAND met lijstgevel (1e helft 19e eeuw).";"Amstel";"120";;"1017 AD";;;"Amsterdam";"Noord-Holland";"Amsterdam";"nee";"0";"nee";"0"
"4";"283";;"0";"0";"0.000000000";"0.000000000";;;"8";;"In de kern 17e eeuws huis met puntgevel (begin 19e eeuw ?).";"Anjeliersstraat";"107";;"1015 NE";;;"Amsterdam";"Noord-Holland";"Amsterdam";"nee";"0";;"0"
"5";"390";;"120683";"487057";"4.883309841";"52.370319366";;;"8";;"Huis (in de kern 18e eeuws of ouder) met verknoeide, echter traditionele verhoudingen bezittende gevel. Empire bovenhuisdeur.";"Berenstraat";"27";;"1016 GG";;;"Amsterdam";"Noord-Holland";"Amsterdam";"ja";"1985";;"0"
"6";"394";;"120683";"487073";"4.883308411";"52.370464325";;;"8";;"Huis (uitwendig voornamelijk 19e eeuws, in de kern ouder) met gevel onder rechte lijst met consoles (3e kwart 19e eeuw).";"Berenstraat";"28";;"1016 GH";;;"Amsterdam";"Noord-Holland";"Amsterdam";"ja";"2005";;"0"
"7";"421";;"121723";"487193";"4.898566723";"52.371604919";;;"8";;"In de kern 17e- of 18e eeuws pand.";"Bethaniënstraat";"18";;"1012 CA";;;"Amsterdam";"Noord-Holland";"Amsterdam";"ja";"1992";;"0"
"8";"505";;"0";"0";"0.000000000";"0.000000000";;;"8";;"Pand met ingezwenkte halsgevel (XVIII, later versoberd). Twee gesneden deuren en bovenlichten in omlijsting (XIX A).";"Bloemgracht";"5";;"1016 KA";;;"Amsterdam";"Noord-Holland";"Amsterdam";"nee";"0";;"0"
"9";"520";;"120551";"487541";"4.881321907";"52.374660492";;;"8";;"Hoekhuis met gevel onder rechte lijst (XIX A).";"Bloemgracht";"51";;"1016 KD";;;"Amsterdam";"Noord-Holland";"Amsterdam";"ja";"1994";;"0"
"10";"594";;"0";"0";"0.000000000";"0.000000000";;;"8";;"Pand met halsgevel met gedeelde vleugelstukken (XVIII A).";;;;"1000 AA";;"Bloemstraat 59";"Amsterdam";"Noord-Holland";"Amsterdam";"geen adres";"0";;"0"
"11";"612";;"0";"0";"0.000000000";"0.000000000";;;"8";;"Pand met tot puntgevel afgekloofde trapgevel (XVII) waarin een gevelsteen met een schuitemaker aan het werk.";"Bloemstraat";"174";;"1016 LK";;;"Amsterdam";"Noord-Holland";"Amsterdam";"nee";"0";;"0"
